id,product,city,latitude,longitude,price
380,Diesel,KONDAPURAM,14.761,78.208,89.25
381,Petrol,BADVEL,14.74,79.063,103.05
382,Diesel,BADVEL,14.74,79.063,89.25
383,Petrol,KOTIREDDY CIRCL,14.465,78.834,103.05
384,Diesel,KOTIREDDY CIRCL,14.465,78.834,89.25
385,Petrol,ONTIMITTA,14.397,79.017,103.06
386,Diesel,ONTIMITTA,14.397,79.017,89.21
387,Petrol,ARKATAVEMULA,14.885,78.544,103.06
388,Diesel,ARKATAVEMULA,14.885,78.544,89.21
389,Petrol,SAMARLAKOTA,17.03,82.18,102.23
390,Diesel,SAMARLAKOTA,17.03,82.18,88.53
391,Petrol,POTTILANKA,16.87,81.815,103.07
392,Diesel,POTTILANKA,16.87,81.815,89.28
393,Petrol,SEETHANAGARAM EAST GODAV,17.177,81.697,104.12
394,Diesel,SEETHANAGARAM EAST GODAV,17.177,81.697,89.98
395,Petrol,Shivakodu,16.456,81.799,104.12
396,Diesel,Shivakodu,16.456,81.799,89.98
397,Petrol,Singampalli,17.022,82.015,104.12
398,Diesel,Singampalli,17.022,82.015,89.98
399,Petrol,MORAMPUDI,16.997,81.8,104.12
400,Diesel,MORAMPUDI,16.997,81.8,89.97
401,Petrol,PANGIDI,17.018,81.651,104.13
402,Diesel,PANGIDI,17.018,81.651,89.85
403,Petrol,Tallapalem,16.864,81.662,104.13
404,Diesel,Tallapalem,16.864,81.662,89.77
405,Petrol,TALLAPUDI,17.13,81.66,104.13
406,Diesel,TALLAPUDI,17.13,81.66,89.95
407,Petrol,TOSSIPUDI EAST GODAVARI,16.933,82.012,104.53
408,Diesel,TOSSIPUDI EAST GODAVARI,16.933,82.012,90.13
409,Petrol,BALABHADRAPURAM,16.958,82.008,104.15
410,Diesel,BALABHADRAPURAM,16.958,82.008,89.99
411,Petrol,Undrajavaram,16.776,81.698,104.15
412,Diesel,Undrajavaram,16.776,81.698,89.99
413,Petrol,Vemagiri,16.921,81.803,104.15
414,Diesel,Vemagiri,16.921,81.803,89.79
415,Petrol,NALLAJERLA WEST GODAVARI,16.948,81.407,104.16
416,Diesel,NALLAJERLA WEST GODAVARI,16.948,81.407,90
417,Petrol,VOMMANGI,17.253,82.22,103.49
418,Diesel,VOMMANGI,17.253,82.22,89.4
419,Petrol,YELESWARAM,17.279,82.107,100.03
420,Diesel,YELESWARAM,17.279,82.107,85.83
421,Petrol,BICCAVOLE,16.966,82.049,100.03
422,Diesel,BICCAVOLE,16.966,82.049,85.83
423,Petrol,CHAGALLU,16.999,81.665,100.03
424,Diesel,CHAGALLU,16.999,81.665,85.83
425,Petrol,PYDIMETTA,17.13,81.66,100.03
426,Diesel,PYDIMETTA,17.13,81.66,85.83
427,Petrol,Chinnayagudem,17.039,81.487,100.03
428,Diesel,Chinnayagudem,17.039,81.487,85.83
429,Petrol,DANVAIPET,17.008,81.78,100.04
430,Diesel,DANVAIPET,17.008,81.78,85.84
431,Petrol,DEEWANCHERUVU,17.05,81.855,100.05
432,Diesel,DEEWANCHERUVU,17.05,81.855,85.85
433,Petrol,DEVARAPALLI,17.035,81.563,100.05
434,Diesel,DEVARAPALLI,17.035,81.563,85.85
435,Petrol,DEVARPALLI WEST GODAVARI,17.035,81.564,100.05
