id,product,city,latitude,longitude,price,location
41537,Petrol,NABADWIP,23.415689,88.394746,106.14,0101000020E6100000840EBA8443195640944E24986A6A3740
41538,Diesel,NABADWIP,23.415689,88.394746,92.87,0101000020E6100000840EBA8443195640944E24986A6A3740
41539,Petrol,CHATRA,22.383682,87.881424,104.72,0101000020E6100000357A354069F855405A10CAFB38623640
41540,Diesel,CHATRA,22.383682,87.881424,91.51,0101000020E6100000357A354069F855405A10CAFB38623640
41541,Petrol,ASANNAGAR,23.426305,88.605924,106.2,0101000020E610000023F77475C72656400C1F1153226D3740
41542,Diesel,ASANNAGAR,23.426305,88.605924,92.92,0101000020E610000023F77475C72656400C1F1153226D3740
41543,Petrol,GURAP,23.011368,88.144163,105.56,0101000020E6100000C59272F7390956408F386403E9023740
41544,Diesel,GURAP,23.011368,88.144163,92.33,0101000020E6100000C59272F7390956408F386403E9023740
41545,Petrol,RANIDANGA,26.6763153,88.3681427,104.71,0101000020E6100000B73066A68F175640D048DFFF22AD3A40
41546,Diesel,RANIDANGA,26.6763153,88.3681427,91.53,0101000020E6100000B73066A68F175640D048DFFF22AD3A40
41547,Petrol,RANGDHAMALI,26.613,88.667,104.95,0101000020E6100000A69BC420B02A5640B0726891ED9C3A40
41548,Diesel,RANGDHAMALI,26.613,88.667,91.76,0101000020E6100000A69BC420B02A5640B0726891ED9C3A40
41549,Petrol,BURDWAN,23.363262,87.64102,104.96,0101000020E61000003E05C07806E955402AE109BDFE5C3740
41550,Diesel,BURDWAN,23.363262,87.64102,91.78,0101000020E61000003E05C07806E955402AE109BDFE5C3740
41551,Petrol,KARDAHA,25.30066,88.50054,105.5,0101000020E6100000C095ECD8082056402237C30DF84C3940
41552,Diesel,KARDAHA,25.30066,88.50054,92.27,0101000020E6100000C095ECD8082056402237C30DF84C3940
41553,Petrol,JANKAPUR,21.9076751,87.3836213,105.59,0101000020E610000023635A408DD85540BEE435655DE83540
41554,Diesel,JANKAPUR,21.9076751,87.3836213,92.33,0101000020E610000023635A408DD85540BEE435655DE83540
41555,Petrol,KASBAGOLA,21.818645,87.454712,105.42,0101000020E610000052465C001ADD5540AF08FEB792D13540
41556,Diesel,KASBAGOLA,21.818645,87.454712,92.16,0101000020E610000052465C001ADD5540AF08FEB792D13540
41557,Petrol,BONGAON,23.14607,88.822026,105.78,0101000020E61000008C9DF0129C3456403EEDF0D764253740
41558,Diesel,BONGAON,23.14607,88.822026,92.54,0101000020E61000008C9DF0129C3456403EEDF0D764253740
41559,Petrol,KUMARGANJ,25.42791,88.73075,105.64,0101000020E610000054E3A59BC42E5640A1A17F828B6D3940
41560,Diesel,KUMARGANJ,25.42791,88.73075,92.41,0101000020E610000054E3A59BC42E5640A1A17F828B6D3940
41561,Petrol,BHALKI,22.461596,87.15075,105.6,0101000020E6100000CFF753E3A5C95540E4F6CB272B763640
41562,Diesel,BHALKI,22.461596,87.15075,92.33,0101000020E6100000CFF753E3A5C95540E4F6CB272B763640
41563,Petrol,KUSMANDI,25.54619,88.32983,105.35,0101000020E610000057CF49EF1B155640F9669B1BD38B3940
41564,Diesel,KUSMANDI,25.54619,88.32983,92.14,0101000020E610000057CF49EF1B155640F9669B1BD38B3940
41565,Petrol,KOLKATA,22.599496,88.530163,105.13,0101000020E610000027A3CA30EE2156403315E29178993640
41566,Diesel,KOLKATA,22.599496,88.530163,91.93,0101000020E610000027A3CA30EE2156403315E29178993640
